english,luganda,source
He is the best photographer in this town.,Ye mukubi w'ebifaananyi asinga mu kabuga kano.,kambale
The gender gap is still big.,Enjawulo mu kikula ky'obutonde ekyali nnene.,kambale
His plants are growing.,Ebimera bye bikula.,kambale
Women were urged to believe in themselves.,Abakyala baakubiriziddwa okwekkiririzaamu.,kambale
The minister is a potential investor.,Minisita oyo asobola okufuuka yinvesita.,kambale
We presented gifts to the priest at his farewell party.,Omubuulizi twamuwadde ebirabo ku kabaga ak'okumusiibula.,kambale
People were very hungry.,Abantu baabadde bayala nnyo.,kambale
Many politicians go broke after leaving the cabinet,Bannabyabufuzi bangi baavuwala nga bavudde ku kakiiko ka paalamenti.,kambale
My brother was shocked by the electricity.,Muganda wange yakubwa amasanyalaze.,kambale
In the picture there was a mountain behind the river.,Mu kifaananyi olusozi lwali mabega w'omugga.,kambale
Foreign commentators are guilty of many shortcomings.,Abatunuulizi ab'ebweru balina ensobi nnyingi ze bakoze.,kambale
The government constructed Arua taxi park.,Gavumenti yazimba paaka ya takisi eya Arua.,kambale
Players with serious injuries do not play football.,Abazannyi ablina obuvune obw'amaanyi tebasamba mupiira.,kambale
She believes that her husband is innocent of the crime.,Akikkiriza nti omwami we talina musango.,kambale
This story raises more questions than it answers.,Ebyo ebyogerwa ku ekyo ekyaliwo bireetawo ebibuuzo ebirala bingi.,kambale
They were advised on how best to run their business profitably.,Baweereddwa amagezi ku ngeri yokuddukanyamu eby'obusuubuzi byabwe okufunamu amagoba.,kambale
Uganda's economy is comprised of both the public and private sectors.,Eby'enfuna bya Uganda birimu gavumenti n'abantu kinnoomu.,kambale
My uncle could not wait to get off the plane and see his family.,Kojja yali yesunga nnyo okuva mu nnyonyi asobole okulaba ab'omu maka ge.,kambale
It was signed to create a single market across the partner states.,Yateekebwako omukono okutondawo akatale k'awamu mu mawanga ago.,kambale
They travelled a very long distance.,Baatambudde olugendo luwanvu nnyo.,kambale
Learners are urged to remain in school to have a bright future.,Abayizi bakubirizibwa okusigala mu ssomero okubeera n'ebiseera by'omu maaso ebitangaavu.,kambale
Democracy is always an interesting topic to discuss.,Bulijjo ensonga ya dimokulasiya ekwata abantu omubabiro.,kambale
Where are you going at this time?,Ogenda wa ku ssaawa eno?,kambale
Some people engage in politics for money but not to serve.,Abantu abamu beenyigira mu byobufuzi lwa nsimbi naye si kuweereza.,kambale
Almost one-fifth of adolescents girls in Africa get pregnant.,Kyenkana omuwala omu ku bataano abavuvuka mu Africa afuna olubuto.,kambale
People face many challenges everyday.,Abantu basanga ebibasoomooza bingi buli lunaku.,kambale
The football matches for this season will be aired on local television.,Emipiira gya sizoni eno gijja kulagibwa ku ttivi za kuno.,kambale
Some people take medicine without  medical check up.,Abantu abamu bamira eddagala nga tebakebeddwa.,kambale
They amended the political parties act to provide for government funding.,Baakola ennongoosereza mu ssemateeka w'ebibiina by'obufuzi kibisobozese okufuna ku ssente za gavumenti.,kambale
A metal detector is run across the passenger’s body and luggage searching for explosives.,Akuuma akakebera kayisibwa ku mubiri gw'omusaabaze ne ku ngugu ye.,kambale
The candidates were suspended from school after displaying their high levels of indiscipline.,Abayizi baawummuzibwa okuva ku ssomero oluvannyuma lwokwolesa obusiiwuufu bw'empisa obwa waggulu.,kambale
It is good to make friends.,Kirungi okukola emikwano.,kambale
The leader of that political party retired from politics.,Omukulembeze w'ekibiina ky'eby'obufuzi ekyo yawummula eby'obufuzi.,kambale
Efforts at mediation have yielded another extension to form a unity government.,Amaanyi ge batadde mu nteesaganya gavuddemu okukola gavumenti ey'ekintabuli.,kambale
The company will help to generate power for the region.,Kampuni ejja kuyamba kukola amasannyalaze mu kitundu.,kambale
The ministry of finance has no control over the company in its current status,Minisitule y'ebyensimbi terina lukusa ku mbeera ya kkampuni gy'ebeeramu.,kambale
Arua diocese heed to the guidelines and the church activities were suspended.,Obulabirizi bwa Arua tebwafaayo ku biragiro era emirimu gy'ekkanisa ne giwummuzibwa.,kambale
A certain organization has pledged to complete the construction process.,Ekitongole ekimu kyeyamye okumaliriza okuzimba.,kambale
I must go to work every day.,Buli lunaku nnina okugenda okukola.,kambale
Many people can not afford basic needs.,Abantu bangi tebasobola kwetusaako byetaago bikulu.,kambale
Players are called upon to portray a good image in the community.,Abazannyi bakubiizibwa okulaga ekifaananyi ekirungi mu kitundu.,kambale
How will your services benefit our University?,Obuwereza bwamwe bunaagasa butya ssetendekero waffe?,kambale
They said that her conduct was bad.,Baagambye nti yeeyisa bubi.,kambale
They believe it is incomplete and supports the ruling party.,Balowooza nti kubulako era nti kiwagira kibiina ekiri mu buyinza.,kambale
Children with bad peer groups have higher chances of failing academically.,Abaana abalina emikwano emibi balina emikisa mingi okulemererwa mu kusoma.,kambale
Patients need confirmation from doctors on what kind of disease they are suffering from.,Abalwadde beetaaga okumanyisibwa okuva eri abasawo ku kika ky'obulwadde obubaluma.,kambale
She brought us some sweets.,Yatuleetera swiiti.,kambale
In refugee camps there is an increase in teenage pregnancies.,Waliwo okweyongera kw'embuto mu bavubuka mu mkambi z'abanoonyiboobubudamu.,kambale
Who did you come with?,Wazze n'ani?,kambale
They are using sport to empower young refugees.,Bakozesa omuzannyo okusitula abanoonyiboobubudamu abato.,kambale
Winnie countered that it takes some time to turn discontent into votes,Winnie yakizuula nti ebiseera ebimu okyusa obutali bumativu mu bululu.,kambale
Vehicle service shops are in the business to make money.,Abakola saaviisi z'emmotoka ekigendererwa kyabwe ekikulu kya kukola ssente.,kambale
Uganda has the biggest refugee group in the region.,Uganda erina ekibinja ky'abanoonyiboobubudamu ekisinga obunene mu kitundu.,kambale
The government should financially contribute to all church projects.,Gavumenti esaanidde okuwagira mu by'ensimbe pulojekiti z'ekkanisa zonna.,kambale
Blood can be stored in a medically approved refrigerator for up to thirty five days.,Omusaayi gusobola okukuumirwa mu firiigi etuukana n'omutindo gw'eby'obujanjabi okumala ennaku asatu mu ttaano.,kambale
Meat is a source of calcium for the body.,Ennyama eyamba omubiri okufuna ekirungo kya calcium.,kambale
The workers struck over salary issues.,Abakozi beekalakaasizza ku nsonga z'omusaala.,kambale
The court ordered the police and the army to leave his house immediately.,Kkooti yalagidde poliisi n'amagye okuva mu maka ge amangu ddala.,kambale
The camps require fresh water for the people living there.,Enkambi zeetaaga amazzi amalungi eri abantu ababeera yo.,kambale
A financial year lasts for a period of twelve months.,Omwaka gw'ebyensimbi gumala ebbanga lya myezi kkumi n'ebiri.,kambale
Dennis Masinde Onyango is the goalkeeper and captain of the national football team.,Dennis Masindi Onyango ye mukwasi wa ggoolo era kaputeni wa ttiimu y'omupiira ey'eggwanga.,kambale
He urged them to spread the word of God in all corners of the country.,Yabakuutira okusaansaanya ekigambo kya Katonda mu buli nsonda y'eggwanga.,kambale
What is your dream?,Kirooto ki ky'olina?,kambale
We need to end gender-based violence.,Tulina okukomya obutabanguko obuva ku kikula.,kambale
I have been listening attentively to the news.,Mbadde mpuliriza bulungi amawulire.,kambale
That referee was given money to determine the result of the game.,Omusazi w'omupiira oyo yaweebwa ssente asalewo ebinaava mu muzannyo.,kambale
Some families were sent away from their land.,Amaka agamu gaagobebwa mu ttaka lyabwe.,kambale
Refugees get involved in animal grazing and cross-border farming.,Abanoonyiboobubudamu beenyigira mu kulunda ensolo n'okulima okusukka nsalo.,kambale
Local markets don't discriminate between the rich and the poor.,Obutale bw'omu byalo tebusosola wakati w'omugagga n'omwavu.,kambale
Most youths in rural areas have given up on education.,Abavubuka abasinga obungi mu byalo eby'okusoma babivuddeko.,kambale
There is a need for electoral reforms to stop vote rigging and ensure free and fair elections.,Waliwo obwetaavu bw'okukola enkyukakyuka mu nzirukanya y'eby'obufuzi okukakasa nti okulonda kuba kwa mazima na bwenkanya.,kambale
Coronavirus has spread in every country in the world.,Akawuka ka kolona kasaasaanidde mu buli ggwanga ly'ensi.,kambale
Some locals nominated him for the position of village chairperson.,Abatuuze abamu baamusemba ku bwa ssentebe bw'ekyalo.,kambale
Highly infectious diseases include Ebola.,Obulwadde obusiiga amangu mulimu ne Ebola.,kambale
The kickboxer won the match by knockout.,Omuzannyi w'ebikonde eby'ensambaggere yawangula omuzannyo bwe yakuba munne ekya tonziriranga.,kambale
Who are the craziest football fans?,Bawagizi ki ab'omupiira gw'ebigere abasinga obulalu?,kambale
If they don't lose this match they are most likely going to win the championship.,Bwe batawangulwa mu muzannyo guno kirabika be bajja okuwangula ekikopo kya bannantameggwa.,kambale
The police officer was arrested for violating human rights.,Owa poliisi baamukutte lwa kulinnyirira ddembe ly'obuntu.,kambale
He said that business is affected if the taxes are a lot.,Yagamba nti emisolo bwe giba emingi kikosa bizineesi.,kambale
I shifted from that neighborhood because there were too many theft cases.,Eyo nnavaayo kubanga waaliwo obubbi bungi.,kambale
There is a small shop near our house.,Waliwo akaduuka akatono okumpi n'ewaffe.,kambale
The pathway sits at the heart of several other biological processes.,Enkola eyo ekozesebwa nnyo ne mu mbeera endala.,kambale
The three children died of food poisoning.,Abaana abasatu baafa olw'emmere eyalimu obutwa.,kambale
The chairman expected the number to increase before the deadline day.,Ssentebe yasuubidde omuwendo okweyongera ku lunaku lwa ssalessale.,kambale
The district chairman has organised a leadership workshop at the headquarters.,Ssentebe wa disitulikiti ategese olukungaana lw'abakulembeze ku kitebe ekikulu.,kambale
Sports federations should have a clear organizational structure.,Ebibiina by'emizannyo birina okuba n'enteekateeka ennambulukufu.,kambale
Students fail to concentrate on their studies because of strikes.,Obwediimo bulemesa abayizi okussaayo omwoyo ku misomo gyabwe.,kambale
Footballers in the third division are not well facilitated.,Abazannyi b'omupiira abali ku mutendera ogw'okusatu tebayambibwako kimala.,kambale
She has been appointed the new spokesperson of the party.,Yalondeddwa okuba omwogezi w'ekibiina omugya.,kambale
In times of calamity foreigners usually travel back to their home countries.,Bwe wabaawo akatyabaga abagwiira batera okuddayo mu nsi zaabwe.,kambale
Few people were vaccinated against polio.,Abantu batono abaagemebwa pooliyo.,kambale
People should think of ways of making money.,Abantu basaanidde okulowooza ku ngeri gye bayinza okukolamu ssente.,kambale
How is the ministry going to handle the discarding of phone batteries,Minisitule egenda kukola etya eky'amanda g'essimu agaasuulibwasuulibwa?,kambale
Theft is a great threat to the community.,Obubbi bwa ntiisa nnyo eri abantu.,kambale
Their vision and mission highlight development.,Ekiruubirirwa kyabwe n'ekigendererwa birambika enkulaakulana.,kambale
When it rains the pupils get shelter from the nearby church.,Enkuba bw'etonnya abayizi baggama ku kkanisa eriraanyeewo.,kambale
The world's leading scientists met in Vitoria-Gasteiz Basque country in two thousand twelve.,Bannassaayansi abasinga mu nsi ababiri baasisinkana mu Vitoria-Gasteiz mu nsi y'e Basque mu nkumi bbiri mu kkumi n'ebiri.,kambale
This landslide was caused by the heavy rains last night.,Okubumbulukuka kw'ettaka kuno kwavudde ku nkuba ey'amaanyi eyatonnye ekiro ekiyise.,kambale
The certificate issuing ceremony was held at the ministry offices.,Omukolo ogw'okugaba satifikeeti gwabadde mu ofiisi y'ekitongole.,kambale
Gertrude Njuba assured that the National Resistance Council was there.,Gatrude Njuba yakakasa nti National Resistance Council yali w'eri.,kambale
This was a bad move to go home.,Okusalawo okudda eka tekyali kya magezi.,kambale
Those who spent money wisely on our people should be commended,Abo abaasaasaanya obulungi ensimbi ku bantu baffe balina okutenderezebwa.,kambale
Appreciate your staff for the work done.,Siima abakozi bo ku lw'omulimu ogukoleddwa.,kambale
The Speaker presides over the legislature.,Sipiika y'akubiriza olukiiko lwa palamenti.,kambale
Registered voters can confirm registration at their voting locations.,Abalonzi abewandiisa basobola okukakasa amannya gaabwe mu bifo webalondera.,kambale
The problem is that she does not want to talk to us.,Ekizibu kiri nti tayagala kwogera naffe.,kambale
She handed over the twenty million shillings.,Yabakwasizza obukadde bw'ensimbi abiri.,kambale
We can hardly achieve anything unless we work together.,Tetusobola kubaako kye tutuukako okuggyako nga tukolera wamu.,kambale
In businesses it is expected to make losses.,Bw'oba okola bizineesi oba osuubira n'okufiirwa.,kambale
It's the police's responsibility to protect Ugandans.,Buvunaanyizibwa bwa poliisi okukuuma bannayuganda.,kambale
There are also many rich individuals and private organizations/foundations to do similar.,Waliwo n'abagagga ssekinnoomu n'ebitongole eby'obwannakyewa okukola ekintu kye kimu.,kambale
What is the appropriate action to be taken in this situation?,Ki ekituufu eky'okukolebwa mu mbeera eno?,kambale
The role of the police is to keep law and order.,Omulimu gwa poliisi gwa kukuuma mateeka n'ebiragiro.,kambale
I inherited this land from my parents.,Nasikira ettaka lino okuva ku bazadde bange.,kambale
Public gatherings were stopped as a way of preventing the spread of coronavirus.,Abantu okukungaana awamu kyawerebwa okusobola okutangira okusaasaana kw'ekirwadde kya korona.,kambale
Pigs play in muddy paddles.,Embizzi zizannyira mu bisooto.,kambale
Suspects should be thoroughly investigated.,Abateeberezebwa okuba n'emisango balina okunoonyerezebwako ddala.,kambale
Agriculture is now carried out for commercial purposes.,Kati ebyobulimi n'obulunzi bikolebwa kufunamu ssente.,kambale
Christianity promotes peace and mortality among people in a society.,Obukulisitaayo butumbula eddembe n'obuwangazi mu bantu mu kitundu.,kambale
Med Kaggwa of Uganda's human rights boss dies.,Med Kaggwa ssenkulu w'eddembe ly'obuntu mu Uganda afa.,kambale
The resident district commissioner has forwarded people's challenges to the president.,Akikirira omukulembeze w'eggwanga mu disitulikiti awaddeyo ebisoomoza abantu eri omukulembeze w'eggwanga.,kambale
Water supply has been properly regulated by the government.,Gavumenti ekoze enteekateeka ennungi abantu okusobola okufuna amazzi.,kambale
How are public concerns on the national budget handled?,Okwemulugunya kw'abantu ku mbalirira y'eggwanga kukoleddwako kutya?,kambale
The defendant's lawyers filed for the court bail.,Bannamateeka b'omuwawaabirwa baasaba okweyimirirwa mu kkooti.,kambale
How can the user identify a fake solar product?,Omuntu akozesa ekintu ekikozesa amaanyi g'enjuba ayinza atya okuzuula ekicupule?,kambale
Boys passed the examinations highly.,Abalenzi baayitidde waggulu.,kambale
He was worried about his children's health.,Yali yeeraliikirira embeera y'obulamu ey'abaana be.,kambale
Some police officers are very corrupt.,Abapoliisi abamu balyi b'enguzi.,kambale
They studied agriculture and graduated this year.,Baasoma ebyobulimi ne batikkirwa omwaka guno.,kambale
You might have left your phone at home.,Essimu yo oyinza okuba nga wagirese waka.,kambale
How much is a flight ticket from Uganda to the United States?,Tikiti y'ennyonyi okuva mu Uganda okugenda mu America ya ssente mmeka?,kambale
The president was the guest of honor at the groundbreaking ceremony.,Pulezidenti ye yali omugenyi omukulu ku mukolo gw'okutongoza.,kambale
Parents were told not to pay for immunization.,Abazadde bagambibwa obutasasulira kugemesa.,kambale
Handkerchiefs should either be washed well as a measure to prevent the spread of coronavirus.,Obutambaala bulina okwozebwa obulungi ng'engeri y'okutangira ensaasaana y'akawuka ka kolona.,kambale
Tomorrow is a Friday.,Enkya Lwakutaano.,kambale
The media should keep the focus on content that is of public interest.,Bannamawulire basaanidde okussa essira ku bintu abantu bye basinga okwagala.,kambale
It is one of the best football teams in the national league.,Y'emu ku ttiimu ezisinga okukola obulungi mu liigi y'eggwanga.,kambale
The school published his report today.,Essomero lyafulumizza alipoota ye leero.,kambale
One must have an appointment to meet with the president.,Omuntu yenna alina okuba n'akalagaane okusisinkana n'omukulembeze w'eggwanga.,kambale
The hall is currently booked.,Ekizimbe waliwo abakyekutte.,kambale
There is no blood in the blood bank.,Mu tterkero ly'omusaayi teriiyo musaayi.,kambale
Funds were allocated for consultation purposes.,Ssente zaateekebwa ku kuzimba.,kambale
Commonwealth conferences are to be held in Uganda.,Enkiiko z'amawanga agaali amatwale ga Bungereza zaakutuula mu Uganda,kambale
She cut off communication with him after the divorce.,Yalekera awo okuwuliziganya naye oluvannyuma lw'okugattululwa naye.,kambale
The government will work with various organizations to develop the northern region.,Gavumenti ejja kukolera n'ebitongole eby'enjawulo okukulaakulanya ebitundu by'obukiikakkono.,kambale
He wants people to work together before during and after elections.,Ayagala abantu bakolere wamu mu kiseera ng'okulonda tekunnaba mu kuloda n'oluvannyuma lw'okulonda.,kambale
She lost her job during the pandemic because the company had to downsize.,Yafiirwa omulimu gwe mu kiseera ky'ekirwadde kubanga kampuni yalina okukendeeza ku bakozi.,kambale
On purchase of certain products clients are given a warranty.,Abantu bwe bagula ebintu ebimu baweebwa walanti.,kambale
I am delighted that you arrived safely.,Nsanyuse okuba nti watuuse bulungi.,kambale
People change from one job to another for better payments.,Abantu bakyusa emirimu okuva ku gumu okudda ku mulala okusobola okufuna omusaala ogusingawo obulungi.,kambale
The project will help refugees in proper feeding and improving their diets.,Entegeka ejja kuyamba abanoonyiboobubudamu mu kulya obulungi n'okulongoosa eby'endya.,kambale
Information is very important.,Obubaka bwa mugaso nnyo.,kambale
Some teachers have inappropriate relationships with students.,Abasomesa abamu balina enkolagana etesaana n'abayizi.,kambale
Why do you fear the unknown?,Lwaki otya ekitamanyiddwa?,kambale
My uncle was very happy when his son got a scholarship to study in Canada.,Kojja wange yasanyuka nnyo mutabani we bwe yafuna sikaala okusomera mu Canada.,kambale
Moslems are excited and hopeful about the new leadership.,Abasiraamu basanyufu era balina essuubi olw'obukulembeze obupya.,kambale
The examination will last for three hours.,Ekigezo kijja kutwala essaawa ssatu.,kambale
What causes conflicts among people?,Ki ekireetawo obukuubagano mu bantu?,kambale
Where did you find this girl?,Omuwala ono wamusanze wa?,kambale
Good feeding is essential for a student's academic performance.,Endya ennungi ya nkizo mu kusoma kw'abayizi.,kambale
Baboons and chimpanzees look alike.,Enkobe n'amazike bifaanagana.,kambale
Qualified health officers should manage health roles.,Abasawo balina okuddukanya emirimu gy'ebyobulamu.,kambale
Election results will be announced tomorrow.,Ebivudde mu kulonda bijja kulangirirwa enkya.,kambale
It was never expected of a religious leader.,Ekyo kya tekisuubirwa mu mukulembeze w'eddiini.,kambale
My husband has been quiet since he returned from work.,Omwami wange abadde musirifu bukya yakomyewo okuva ku mulimu.,kambale
The locals reported the people they suspected to be robbing them to the police.,Abatuuze baawawaabidde ku poliisi abantu be bateebereza okubabba.,kambale
The school has been renovated during this time of the lockdown.,Essomero liddaabiriziddwa mu kiseera kino eky'omuggalo.,kambale
He is a God above all gods.,Ye Katonda ali waggulu wa ba katonda bonna.,kambale
The king sentenced many of his subjects to death for being Christians.,Kabaka yalagira bangi ku bantu be okuttibwa olw'okufuuka Abakristaayo.,kambale
They qualified for the finals of the league.,Baayitamu okutuuka ku mpaka z'akamalirizo eza liigi..,kambale
Many young men spend their time arguing about football.,Abavubuka bangi bamala ebiseera nga bawakana ku by'omupiira.,kambale
My grandfather chose his second son to take over his poultry business.,Jjajja wange omusajja yalonda mutabani we ow'okubiri okuddukanya bizineesi ye ey'okulunda enkoko.,kambale
She hopes to be a successful engineer in the future.,Asuubira okubeera yinginiya omulungi mu biseera eby'omu maaso.,kambale
I can't buy newspapers.,Sisobola kugula mpapula z'amawulire.,kambale
The public follows up information availed by the media.,Abantu bagoberera obubaka obubaweereddwa emikutu gy'amawulire.,kambale
The internet was shut down during election time.,Yintaneeti yaggalwawo mu kiseera ky'okulonda.,kambale
Can I have something to drink?,Nsobola okufunayo ku ky'okunywa?,kambale
He won the school singing competitions last year.,Yawangula empaka z'okuyimba ku ssomero omwaka oguwedde.,kambale
Everyone in the family now knows about the land wrangles.,Buli muntu mu maka ago kati amanyi enkayaana z'ettaka eziriwo.,kambale
Leaders need to do more to bring services to their constituencies,Abakulembeze beetaaga okukola ennyo okusobola okutuusa empeereza mu bitundu bye bakulembera.,kambale
The school owners have requested the government to help them reopen schools.,Bannanyini masomero basabye gavumenti ebayambe eggulewo amasomero.,kambale
There is tight competition between the local and foreign oil companies in Uganda.,Waliwo okuvuganya kwa maanyi wakati wa kampuni z'amafuta eziri mu Uganda n'ez'ebweru.,kambale
The dead body was taken to the hospital for cross-examination.,Omulambo gwatwalibwa mu ddwaliro okugwekebejja.,kambale
Music artists make most of their money through concerts and performances.,Abayimbi ssente zaabwe ezisinga bazikola mu bivulu.,kambale
Journalists have condemned the suspension of their colleagues.,Bannamawulire bavumiridde eky'okuyimiriza kwa bannaabwe.,kambale
The camp constitutes one thousand four hundred households.,Enkambi erimu amaka lukumi mu bina.,kambale
Do you want her help or not?,Weetaaga obuyambi bwe oba nedda?,kambale
During this season most preachers are preaching via social media platforms.,Mu kaseera kano ababuulirizi abasinga babuulirira okuyita ku mikutu emigattabantu.,kambale
The bus conductor collected money from the passengers.,Kondakita wa bbaasi yasoloozezza ssente okuva ku basaabaze.,kambale
She packed all the clothes in her boutique yesterday.,Yazinzeeko engoye zonna mu dduuka ly'engoye lye jjo.,kambale
Officers should not neglect their duties.,Abakungu tebalina kusuulirira mirimu gyabwe.,kambale
Northern Uganda has been developed.,Obukiika kkono bwa Uganda bukulaakulanyiziddwa.,kambale
My second contribution has been on strategy.,Ekintu eky'okubiri kye ngasseeko kwe kuba ne ppulaani.,kambale
The dossier resulted in the court martialing of Besigye.,Omugugu gw'ekiwandiiko gwaviirako Besigye okusimbibwa mu kkooti y'amagye.,kambale
The thieves were sentenced to death.,Ababbi baasalibwa gwa kufa.,kambale
What are the basic needs of a family?,Byetaago ki ebikulu mu maka?,kambale
All countries are doing their best to prevent the further spread of the disease.,Ensi zonna zikola ekisoboka kyonna okulaba nti ekirwadde tekyeyongera kusaasana.,kambale
You should work stop complaining.,Olina okukola lekeraawo okwemulugunya.,kambale
It is the best football team in the district.,Ye ttiimu y'omupiira esinga mu disitulikiti.,kambale
The nurses do not have coronavirus protective equipment.,Abasaawo tebalina bikozesebwa bimala mu kwetangira kawuka ka kolona.,kambale
The town council closed a number of markets because of poor toilet facilities.,Akakiiko k'ekibuga kaggala obutale obuwelako olwa kaabuyonjo embi.,kambale
He was bitten by mosquitoes when they went camping.,Yalumwa ensiri nga bagenze okubeera mu nsiisira.,kambale
The more members you have the more votes in an election.,Gy'okoma okuba n'abantu abangi gy'okoma okufuna obululu obungi mu kulonda.,kambale
Most of the contacts of yellow fever have tested negative.,Abantu abaaliko n'abaazuulibwamu omusujja gw'enkaka tebazuuliddwamu nkaka.,kambale
The lorries will park outside the taxi park.,Loole zijja kusimba wabweru wa ppaaka.,kambale
The survey was conducted in Ghana Kenya Nigeria South Africa Tanzania,Okunoonyereza kwakolebwa mu Ghana Kenya Nigeria South Afirika Tanzania ne Uganda.,kambale
She managed to catch the ball that he threw at her.,Yasobola okukwata omupiira gwe yamukanyugira.,kambale
He spoils his wife with romantic gifts all the time.,Akola mukyala we ekyejo ng'amuwa obulabo bw'omukwano buli kiseera.,kambale
He followed the ash along the path until he saw a fire in the distance.,Yagoberera evvu we lyagenze liyiika mu kakubo okutuusa we yatuuka awantu ng'alengera omuliro ogukumiddwa.,kambale
Some people are always left behind in developmental matters in their communities.,Abantu abamu balekebwa emabega mu nsonga z'enkulaakulana mu bitundu byabwe.,kambale
There was a great sense of relief that this election was concluded.,Waaliwo obuweerero bwa maanyi oluvannyuma lw'okulonda okwo okuggwa.,kambale
The funds were embezzled.,Obuyambi bwabulankanyizibwa.,kambale
He is well educated with several degrees.,Muyigirize bulungi ne diguli eziwera.,kambale
Besigye sees the pointlessness of basing strategic moves on grievance without a fight.,Besigye alaba nti tekikola makulu kuvuganya gavumenti nga boogera bwogezi ku bintu by'etakola bulungi awatali kulwana.,kambale
People should embrace purity just like Jesus Christ.,Abantu bateekeddwa okwaniriza obutukuvu nga Yesu kulisitu.,kambale
I can walk you to your home.,Nsobola okukuwerekerako ewuwo.,kambale
The congregation had many Congolese.,Olukungaana lw'abaddemu abakongo bangi.,kambale
The government aims at improving the livelihoods of refugees.,Gavumenti egenderera okulongoosa obulamu bwa banoonyiboobubudamu.,kambale
He scored the winning goal for his team.,Yateebedde ttiimu ye goolo ey'obuwanguzi.,kambale
Dr. Kojan's invention of the portable Ebola treatment unit is being celebrated.,Obuyiiya bwa dokita Kojan obw'enzijanjaba ya Ebola etambuzibwa buli mu kujjagulizibwa.,kambale
What is your relationship with the deceased?,Enkolagana ki gy'olina n'omugenzi?,kambale
No help is given to their family when they die.,Tewali buyambi buweebwa ba mu maka gaabwe nga bafudde.,kambale
He is a proud father of five girls.,Yazaala abaana abawala bataano era bonna abeenyumirizaamu.,kambale
Adultery is not a solution.,Obwenzi si kwe kugonjoola.,kambale
They will take an oath of office.,Bajja kulayizibwa okutwala ofiisi.,kambale
The company has allocated more money to increase our salaries.,Gavumenti ewaddeyo ssente endala okusobola okwongeza ku musaala gwaffe.,kambale
I went to the supermarket to buy milk.,Nnagenda ku ssemaduuka okugula amata.,kambale
When will you plant these beans?,Ebijanjaalo bino onoobisimba ddi?,kambale
The student apologized for the delay in handing in her assignment.,Omuyizi yeetonda olw'okulwawo okuwaayo omulimu gwe.,kambale
She was appointed acting president until the end of this presidential term.,Yalondebwa okugira ng'akola nga pulezidenti okutuusa ng'ekisanja kya pulezidenti kino kiweddeko.,kambale
I closed my boutique after the president's speech on Friday.,Nnaggalawo eduuka lyange oluvannyuma lw'okwogera kwa pulezidenti ku Lwokutaano.,kambale
We went to Mecca last year.,Omwaka oguwedde twagenda e Mecca.,kambale
Uganda asked to join them in operations on the twenty-fifth of October but Beni declined.,Uganda yasaba okubeegattako mu bikwekweto nga abiri mu ttaano Ogwekkumi naye Beni n'agaana.,kambale
Some businesses increased their sales during the coronavirus pandemic.,Buzineensi ezimu zaatunda nnyo mu kiseera ky'ekirwadde kya korona.,kambale
Instead Uganda said it would secure its border against militia forces.,Wabula Uganda yagambye nti ejja kukuuma ensalo zaayo okwewala obulumbaganyi bw'amagye.,kambale
Uganda Cranes are warming up for a match with Burundi.,Ttiimu y'eggwanga ey'omupiira gw'ebigere yeetegekera mupiira ne burundi.,kambale
The authority has lost so much money to tax debtors.,Ekitongole kifiiriddwa ssente nnyingi nnyo olw'abo abatannawa misolo.,kambale
The girl that saved other students from the fire died as a hero.,Omuwala eyataasizza banne omuliro yafudde nga muzira.,kambale
Zebra crossings should regularly be painted after a while to better visibility,Ebifo ab'ebigere we basalira birina okusiigibwa buli luvannyuma lw'ekiseera okulabibwa obulungi.,kambale
He died in the hospital last night.,Yafiiridde mu ddwaliro ekiro ekiyise.,kambale
Some children are forced into child labour.,Abaana abamu bakakibwa okukola nga tebanneetuuka.,kambale
My father has been laid off.,Kitange ayimiriziddwa ku mulimu.,kambale
Some electric poles fell as a result of the heavy rain.,Ebikondo by'amasanyalaze ebimu byagwa olw'enkuba ey'amaanyi eyatonnya.,kambale
The head of the sales department in the organization was replaced by a woman.,Omukazi ye yadda mu kifo ky'eyali akulira ekitongole ekitunzi mu kibiina.,kambale
We have a long way to go on this issue.,Tulina olugendo luwanvu ku nsonga eno.,kambale
He makes fun of his friend.,Ajerega mukwano gwe.,kambale
Her son dropped out of school.,Mutabani we yava mu ssomero.,kambale
Solar power provides all the necessary power needs.,Amasannyalaze g'enjuba gakola byonna ebyetaago by'amasannyalaze.,kambale
The district sports team reached the finals last year.,Ttiimu y'ebyemizannyo eya disitulikiti yatuuka ku mpaka z'akamalirizo omwaka oguwedde.,kambale
They should pay attention to the strength and limitations of each of the student.,Balina okufaayo ku maanyi ne ku bunafu bwa buli muyizi.,kambale
People in our region should always live together as one.,Abantu mu kitundu kyaffe balina okubeera obumu.,kambale
Many people were left jobless during the pandemic.,Abantu bangi baafiirwa emirimu mu kiseera ky'ekirwadde.,kambale
Leaders need to be transparent about their land compensation policies.,Abakulembeze beetaaga okuba abeerufu mu mateeka gaabwe ag'okuliyirira ab'ettaka.,kambale
Unfortunately his mother died in the accident.,Eky'ennaku maama we yafiiridde mu kabenje.,kambale
Leaders should be mindful of whom they delegate tasks to.,Abakulembeze balina okwegendereza abo be bawa emirimu.,kambale
She said Paris is a beautiful city.,Yagamba ekibuga Paris kirabika bulungi nnyo.,kambale
You need to take care of your children.,Olina okulabirira abaana bo.,kambale
